State,County,Latitude ,Longitude ,Date,Time,Crime,Occurences
WY,Albany,41.293265,-105.590699,26-May-17,3:00am-3:59am,Assault,2
WY,Albany,41.293265,-105.590699,31-May-17,9:00pm-9:59pm,Assault,1
WY,Albany,41.293265,-105.590699,3-Jun-17,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,8-Jun-17,11:00am-11:59am,Assault,1
WY,Albany,41.293265,-105.590699,12-Jun-17,7:00pm-7:59pm,Assault,2
WY,Albany,41.293265,-105.590699,12-Jun-17,12:00n-12:59pm,Assault,1
WY,Albany,41.293265,-105.590699,15-Jun-17,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,16-Jun-17,10:00pm-10:59pm,Assault,2
WY,Albany,41.293265,-105.590699,21-Jun-17,2:00pm-2:59pm,Assault,1
WY,Albany,41.293265,-105.590699,21-Jun-17,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,25-Jun-17,10:00pm-10:59pm,Assault,2
WY,Albany,41.293265,-105.590699,30-Jun-17,2:00pm-2:59pm,Assault,1
WY,Albany,41.293265,-105.590699,1-Jul-17,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,4-Jul-17,11:00pm-11:59pm,Assault,1
WY,Albany,41.293265,-105.590699,6-Jul-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,6-Jul-17,10:00pm-10:59pm,Assault,2
WY,Albany,41.293265,-105.590699,7-Jul-17,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,19-Jul-17,5:00am-5:59am,Assault,2
WY,Albany,41.293265,-105.590699,25-Jul-17,9:00pm-9:59pm,Assault,2
WY,Albany,41.293265,-105.590699,25-Jul-17,2:00pm-2:59pm,Assault,2
WY,Albany,41.293265,-105.590699,2-Aug-17,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,8-Aug-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,11-Aug-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,12-Aug-17,1:00am-1:59am,Assault,1
WY,Albany,41.293265,-105.590699,15-Aug-17,9:00am-9:59am,Assault,1
WY,Albany,41.293265,-105.590699,16-Aug-17,7:00am-7:59am,Assault,2
WY,Albany,41.293265,-105.590699,21-Aug-17,8:00pm-8:59pm,Assault,2
WY,Albany,41.293265,-105.590699,21-Aug-17,9:00am-9:59am,Assault,1
WY,Albany,41.293265,-105.590699,22-Aug-17,9:00pm-9:59pm,Assault,2
WY,Albany,41.293265,-105.590699,27-Aug-17,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,1-Sep-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,2-Sep-17,12:00am-12:59am,Assault,1
WY,Albany,41.293265,-105.590699,5-Sep-17,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,6-Sep-17,8:00pm-8:59pm,Assault,2
WY,Albany,41.293265,-105.590699,15-Sep-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,15-Sep-17,11:00pm-11:59pm,Assault,1
WY,Albany,41.293265,-105.590699,17-Sep-17,11:00pm-11:59pm,Assault,2
WY,Albany,41.293265,-105.590699,17-Sep-17,5:00am-5:59am,Assault,2
WY,Albany,41.293265,-105.590699,17-Sep-17,4:00pm-4:59pm,Assault,2
WY,Albany,41.293265,-105.590699,18-Sep-17,9:00pm-9:59pm,Assault,2
WY,Albany,41.293265,-105.590699,27-Sep-17,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,28-Sep-17,1:00pm-1:59pm,Assault,2
WY,Albany,41.293265,-105.590699,29-Sep-17,12:00am-12:59am,Assault,1
WY,Albany,41.293265,-105.590699,6-Oct-17,11:00am-11:59am,Assault,2
WY,Albany,41.293265,-105.590699,7-Oct-17,10:00pm-10:59pm,Assault,2
WY,Albany,41.293265,-105.590699,9-Oct-17,8:00am-8:59am,Assault,1
WY,Albany,41.293265,-105.590699,9-Oct-17,3:00pm-3:59pm,Assault,1
WY,Albany,41.293265,-105.590699,17-Oct-17,7:00pm-7:59pm,Assault,2
WY,Albany,41.293265,-105.590699,19-Oct-17,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,20-Oct-17,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,24-Oct-17,2:00pm-2:59pm,Assault,1
WY,Albany,41.293265,-105.590699,26-Oct-17,11:00pm-11:59pm,Assault,2
WY,Albany,41.293265,-105.590699,26-Oct-17,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,27-Oct-17,10:00am-10:59am,Assault,1
WY,Albany,41.293265,-105.590699,28-Oct-17,8:00pm-8:59pm,Assault,2
WY,Albany,41.293265,-105.590699,2-Nov-17,10:00pm-10:59pm,Assault,2
WY,Albany,41.293265,-105.590699,3-Nov-17,8:00am-8:59am,Assault,2
WY,Albany,41.293265,-105.590699,8-Nov-17,6:00pm-6:59pm,Assault,2
WY,Albany,41.293265,-105.590699,15-Nov-17,3:00pm-3:59pm,Assault,1
WY,Albany,41.293265,-105.590699,16-Nov-17,1:00pm-1:59pm,Assault,2
WY,Albany,41.293265,-105.590699,17-Nov-17,9:00pm-9:59pm,Assault,1
WY,Albany,41.293265,-105.590699,19-Nov-17,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,24-Nov-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,25-Nov-17,12:00n-12:59pm,Assault,1
WY,Albany,41.293265,-105.590699,2-Dec-17,6:00am-6:59am,Assault,2
WY,Albany,41.293265,-105.590699,13-Dec-17,10:00am-10:59am,Assault,1
WY,Albany,41.293265,-105.590699,14-Dec-17,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,18-Dec-17,11:00am-11:59am,Assault,1
WY,Albany,41.293265,-105.590699,18-Dec-17,1:00pm-1:59pm,Assault,2
WY,Albany,41.293265,-105.590699,23-Dec-17,12:00n-12:59pm,Assault,1
WY,Albany,41.293265,-105.590699,24-Dec-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,27-Dec-17,12:00am-12:59am,Assault,1
WY,Albany,41.293265,-105.590699,29-Dec-17,4:00pm-4:59pm,Assault,2
WY,Albany,41.293265,-105.590699,30-Dec-17,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,1-Jan-18,1:00am-1:59am,Assault,1
WY,Albany,41.293265,-105.590699,5-Jan-18,1:00pm-1:59pm,Assault,2
WY,Albany,41.293265,-105.590699,6-Jan-18,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,10-Jan-18,2:00pm-2:59pm,Assault,1
WY,Albany,41.293265,-105.590699,11-Jan-18,3:00pm-3:59pm,Assault,1
WY,Albany,41.293265,-105.590699,18-Jan-18,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,19-Jan-18,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,19-Jan-18,6:00am-6:59am,Assault,1
WY,Albany,41.293265,-105.590699,21-Jan-18,2:00am-2:59am,Assault,2
WY,Albany,41.293265,-105.590699,24-Jan-18,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,28-Jan-18,12:00am-12:59am,Assault,2
WY,Albany,41.293265,-105.590699,2-Feb-18,12:00n-12:59pm,Assault,1
WY,Albany,41.293265,-105.590699,3-Feb-18,3:00am-3:59am,Assault,1
WY,Albany,41.293265,-105.590699,3-Feb-18,7:00am-7:59am,Assault,2
WY,Albany,41.293265,-105.590699,4-Feb-18,1:00am-1:59am,Assault,1
WY,Albany,41.293265,-105.590699,5-Feb-18,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,5-Feb-18,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,10-Feb-18,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,11-Feb-18,1:00am-1:59am,Assault,1
WY,Albany,41.293265,-105.590699,17-Feb-18,6:00pm-6:59pm,Assault,2
WY,Albany,41.293265,-105.590699,26-Feb-18,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,28-Feb-18,12:00n-12:59pm,Assault,2
WY,Albany,41.293265,-105.590699,5-Mar-18,9:00am-9:59am,Assault,1
WY,Albany,41.293265,-105.590699,9-Mar-18,3:00am-3:59am,Assault,1
WY,Albany,41.293265,-105.590699,14-Mar-18,6:00am-6:59am,Assault,1
WY,Albany,41.293265,-105.590699,17-Mar-18,12:00n-12:59pm,Assault,1
WY,Albany,41.293265,-105.590699,18-Mar-18,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,25-Mar-18,4:00am-4:59am,Assault,1
WY,Albany,41.293265,-105.590699,25-Mar-18,9:00am-9:59am,Assault,2
WY,Albany,41.293265,-105.590699,26-Mar-18,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,27-Mar-18,8:00pm-8:59pm,Assault,2
WY,Albany,41.293265,-105.590699,27-Mar-18,8:00am-8:59am,Assault,2
WY,Albany,41.293265,-105.590699,1-Apr-18,1:00am-1:59am,Assault,2
WY,Albany,41.293265,-105.590699,8-Apr-18,3:00am-3:59am,Assault,1
WY,Albany,41.293265,-105.590699,9-Apr-18,12:00n-12:59pm,Assault,2
WY,Albany,41.293265,-105.590699,10-Apr-18,10:00am-10:59am,Assault,1
WY,Albany,41.293265,-105.590699,11-Apr-18,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,11-Apr-18,10:00pm-10:59pm,Assault,2
WY,Albany,41.293265,-105.590699,12-Apr-18,7:00am-7:59am,Assault,1
WY,Albany,41.293265,-105.590699,12-Apr-18,10:00am-10:59am,Assault,2
WY,Albany,41.293265,-105.590699,15-Apr-18,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,19-Apr-18,12:00n-12:59pm,Assault,1
WY,Albany,41.293265,-105.590699,20-Apr-18,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,20-Apr-18,9:00pm-9:59pm,Assault,2
WY,Albany,41.293265,-105.590699,25-Apr-18,11:00am-11:59am,Assault,2
WY,Albany,41.293265,-105.590699,26-Apr-18,12:00am-12:59am,Assault,1
WY,Albany,41.293265,-105.590699,3-May-18,8:00pm-8:59pm,Assault,2
WY,Albany,41.293265,-105.590699,4-May-18,2:00am-2:59am,Assault,2
WY,Albany,41.293265,-105.590699,13-May-18,2:00am-2:59am,Assault,2
WY,Albany,41.293265,-105.590699,13-May-18,3:00am-3:59am,Assault,2
WY,Albany,41.293265,-105.590699,13-May-18,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,19-May-18,9:00pm-9:59pm,Assault,2
WY,Albany,41.293265,-105.590699,20-May-18,5:00pm-5:59pm,Assault,2
WY,Albany,41.293265,-105.590699,23-May-18,12:00n-12:59pm,Assault,2
WY,Albany,41.293265,-105.590699,30-May-18,6:00pm-6:59pm,Assault,2
WY,Albany,41.293265,-105.590699,31-May-18,3:00pm-3:59pm,Assault,1
WY,Albany,41.293265,-105.590699,8-Jun-18,7:00pm-7:59pm,Assault,2
WY,Albany,41.293265,-105.590699,17-Jun-18,2:00pm-2:59pm,Assault,1
